Echantillon;Meme echantilon qui recolte 2009/2010;Ville;Recolte;Cultivar;Age;Espacement.m;Aplicacion PBZ.ml do p.a./plante;SPAD_m;Irrigation.I-NI;rdt.kg/Plante;sol.pH.cacl2;sol.M.O.g/dm3;sol.P.mg/dm3;sol.K.mmolc/dm3;sol.Ca.mmolc/dm3;sol.Mg.mmolc/dm3;sol.H+Almmolc/dm3;sol.SB.mmolc/dm3;sol.T.mmolc/dm3;sol.V.perc;sol.B.mg/dm3;sol.Cu.mg/dm3;sol.Fe.mg/dm3;sol.Mn.mg/dm3;sol.Zn.mg/dm3;sol.S-S04.mg/dm3;sol.Al.mmolc/dm3;fol.N.g/kg;fol.P.g/kg;fol.K.g/kg;fol.Ca.g/kg;fol.Mg.g/kg;fol.S.g/kg;fol.B.mg/kg;fol.Cu.mg/kg;fol.Fe.mg/kg;fol.Mn.mg/kg;fol.Zn.mg/kg
203;29;Fernando Prestes;2010/2011;Espada;2005;7 x 5;2.5;56.5;NI;58;5;10;24;1.5;19;8;22;28.5;50.5;56;0.38;3.1;25;9.8;0.8;2;0;15.7;0.8;5.2;23;1.4;1.2;37;8;75;542;28
22;;Pirangi;2009/2010;Espada;2002;8 x 6;0;57.4;NI;57.9;5.4;18;25;2.5;16;7;19;25.5;44.5;57;0.12;4.6;21;22;2;1;0;17.2;1;7.3;13.1;2.2;1.5;20;40;39;532;13
83;;Vista Alegre do Alto;2009/2010;Palmer;2004;8 x 6;2;48.4;NI;56.8;5.5;17;20;3.1;20;7;24;30.1;54.1;56;0.1;3.8;2;10.4;0.6;5;0;12.6;1.1;12.3;17.2;1.8;1.5;29;5;38;265;38
6;;Pirangi;2009/2010;Palmer;2003;7 x 5;1.44;53.4;NI;56.6;4.9;15;4;3.4;10;4;22;17.4;39.4;44;0.08;1.4;37;22;0.6;1;1;15.4;0.9;10.5;17.7;1.8;1.7;26;21;46;1009;12
211;36;Fernando Prestes;2010/2011;Espada;2002;8 x 5;0;57.5;NI;55;5;10;16;1.6;17;5;20;23.6;43.6;54;0.2;1.8;14;10.5;0.5;1;0;14.2;0.7;4.9;20.1;1.3;1.1;23;15;56;242;16
90;;Vista Alegre do Alto;2009/2010;Espada;2001;8 x 6;1.25;53;NI;54.2;6.4;18;86;3.1;46;17;13;66.1;79.1;84;0.12;3.8;21;17.2;2;1;0;16.1;1.4;8.1;14.1;1.7;1.6;24;5;64;320;43
19;;Pirangi;2009/2010;Palmer;2003;6 X 4;1.8;55.9;NI;54.1;6;15;12;2.2;28;14;14;44.2;58.2;76;0.06;2.2;13;17;1;1;0;15.4;1;10.4;22.3;1.9;1.4;18;7;53;482;16
67;;Taquaritinga;2009/2010;Palmer;2000;8 x 4;3.75;56.3;NI;53.7;6.4;15;36;1.5;27;9;13;37.5;50.5;74;0.16;4;19;20;1.2;2;0;13.7;0.9;11.6;18.4;1.8;1.6;42;91;61;822;20
113;;Fernando Prestes;2009/2010;Tommy;2005;8 x 6;0;51.4;NI;53.4;5.9;18;29;2;23;11;15;36;51;71;0.06;2.4;20;11.4;1.2;1;0;13;0.9;6.7;18.4;2.2;1.4;25;8;58;621;17
137;;Vista Alegre do Alto;2009/2010;Palmer;2005;8 x 6;0;47.7;NI;53.1;5.9;18;29;2;23;11;15;36;51;71;0.06;2.4;20;11.4;1.2;1;0;12.3;0.7;9.3;13.2;2.2;1;14;9;41;679;13
66;;Taquaritinga;2009/2010;Palmer;2000;8 x 4;3.75;61;NI;52.9;6.4;15;48;1.5;31;9;13;41.5;54.5;76;0.18;5.6;13;19.8;1.6;1;0;14.7;0.9;11.7;18.6;1.7;1.7;40;71;68;957;25
120;;Fernando Prestes;2009/2010;Tommy;2005;8 x 5;2.5;51.5;NI;52.9;5.8;15;44;2.1;16;4;18;22.1;40.1;55;0.06;1;20;16;1;3;0;14;0.9;6.7;19.2;2.3;1.2;18;9;60;688;14
177;135;Monte Alto;2010/2011;Palmer;2001;9 x 4;3.75;47.1;NI;52.8;5.6;15;56;2.9;40;14;18;56.9;74.9;76;0.18;16.1;18;14;1.6;3;0;11.3;1.3;10;23.3;2;1.2;30;24;58;239;14
102;;Vista Alegre do Alto;2009/2010;Tommy;2004;8 x 5;0;49.8;I;52.5;5.3;16;7;2.5;17;5;21;24.5;45.5;54;0.06;9;19;22;0.6;1;0;13;1.1;11.4;16.4;2.4;1.4;26;36;73;395;17
37;;Fernando Prestes;2009/2010;Palmer;2003;8 x 5;2;56.1;NI;51.1;5.5;12;10;2.5;19;5;19;26.5;45.5;58;0.12;2.2;21;22;1;1;0;13.7;1;10.6;25.5;1.9;1.8;23;28;70;594;20
114;;Fernando Prestes;2009/2010;Tommy;2005;8 x 6;0;46.4;NI;50.8;5.8;23;8;2.4;25;9;17;36.4;53.4;68;0.06;1;29;22;1;2;0;11.2;0.8;6.7;19;1.8;1.2;24;9;52;267;15
68;;Taquaritinga;2009/2010;Palmer;2000;8 x 4;3.75;61.5;NI;49.7;6.3;16;28;1.4;27;9;16;37.4;53.4;70;0.23;3.6;13;17.8;1;1;0;14.7;0.9;11.9;17.3;1.8;1.7;33;72;66;943;22
65;;Taquaritinga;2009/2010;Palmer;2000;8 x 4;3.75;59.8;NI;48.7;6.3;15;24;1.4;26;9;15;36.4;51.4;71;0.16;3.2;13;18.4;1;4;0;14;0.9;11.3;18.2;1.9;1.5;34;891;83;775;24
190;73;Taquaritinga;2010/2011;Palmer;1999;8 x 4;4;46.6;NI;48.1;5.3;6;106;2.6;25;16;18;43.6;61.6;71;1.89;6.4;16;18.2;0.7;81;0;9.1;0.8;10.2;21.7;1.8;1.4;58;23;85;1418;14
41;;Fernando Prestes;2009/2010;Tommy;1997;8 x 6;0;48.4;NI;46.8;5.2;13;5;2.2;18;6;20;26.2;46.2;57;0.1;6.8;24;22;0.6;1;0;11.7;1;7.9;23.7;1.9;1.2;26;8;72;278;15
147;90;Vista Alegre do Alto;2010/2011;Espada;2003;7 x 6;1.8;54.3;NI;46.8;5.7;13;103;2.6;51;21;16;74.6;90.6;82;0.2;3.4;14;10;1;1;0;12.4;0.9;5.9;18;1.6;1.2;26;10;52;570;45
220;;Vista Alegre do Alto;2010/2011;Tommy;1998;7 x 6;3.6;46.5;NI;45.4;5.2;5;6;3.3;24;13;27;40.3;67.3;60;0.24;7;23;9.2;0.7;3;0;10.2;0.6;10.6;15.2;2.1;1.2;24;9;57;408;13
178;;Monte Alto;2010/2011;Palmer;2001;9 x 4;3.75;45.1;NI;44.9;5.2;12;22;3.1;24;11;22;38.1;60.1;63;0.28;14;25;18.2;0.9;2;0;11;1.5;10.3;21.4;2.3;1.2;32;19;107;298;20
122;;Fernando Prestes;2009/2010;Palmer;1998;8 x 6;3;54.4;NI;43.1;4.1;16;6;2.7;6;3;47;11.7;58.7;20;0.1;8.4;31;4;0.8;3;9;15.4;0.9;10;17.1;2.3;1.4;31;4;44;316;14
38;;Fernando Prestes;2009/2010;Palmer;2001;8 x 6;2.5;54.3;NI;43;5.6;12;11;2.4;20;6;18;28.4;46.4;61;0.14;6.6;16;22;1.2;2;0;14.7;0.9;11.7;13.5;1.9;1.3;18;26;58;873;16
47;;Fernando Prestes;2009/2010;Tommy;2005;10 x 6;1.25;49.7;NI;42;5.9;12;18;2.5;23;6;15;31.5;46.5;68;0.12;1.8;21;20;1.4;1;0;11.6;0.9;6.1;21.9;1.6;1.4;20;7;85;256;15
77;;Taquaritinga;2009/2010;Tommy;2000;8 x 4;4.5;50.4;NI;41.9;6.3;15;26;1.7;27;10;15;38.7;53.7;72;0.24;3.6;17;15;1;2;0;12.3;0.8;11.1;18.8;1.5;1.7;94;116;63;940;29
204;30;Fernando Prestes;2010/2011;Espada;2005;8 x 6;2.5;57;NI;41;5.1;7;30;1.2;13;6;15;20.2;35.2;57;0.23;2.3;18;4.9;0.7;1;0;15.7;0.9;7.2;21.3;1.6;1.3;26;7;33;264;14
76;;Taquaritinga;2009/2010;Tommy;2000;8 x 4;4.5;49.4;NI;40.6;6.3;17;34;2.8;33;10;15;45.8;60.8;75;0.2;4.4;19;19.6;1.6;2;0;11.9;1;11.3;21.9;1.6;1.9;81;103;56;924;30
121;;Fernando Prestes;2009/2010;Palmer;2002;10 x 6;3.75;53.9;NI;38;5.4;14;14;2.4;15;4;18;21.4;39.4;54;0.06;4.8;22;22;1;2;0;13.3;1.4;11.8;23.2;1.9;1.9;20;14;45;736;20
198;28;Fernando Prestes;2010/2011;Espada;2005;8 x 7;0;57.6;NI;38;4.3;10;7;2.2;8;4;38;14.2;52.2;27;0.19;0.7;21;4.9;0.1;1;5;13.5;0.7;6.1;15.2;1.8;1.1;25;8;107;872;15
82;;Taquaritinga;2009/2010;Palmer;2000;8 x 4;3.75;60.2;NI;35.7;6.3;16;67;1.3;29;12;15;42.3;57.3;74;0.18;3.8;13;12.6;1;5;0;13.7;1.1;12.2;18.5;1.9;2.1;41;72;63;1138;29
71;;Taquaritinga;2009/2010;Palmer;2000;8 x 4;3.75;58.8;NI;34.9;6.3;15;26;1.2;26;9;16;36.2;52.2;69;0.18;4.2;13;13.2;1;3;0;14;1.4;13.2;20.1;2.2;2.4;148;64;64;1032;35
118;;Fernando Prestes;2009/2010;Palmer;1999;10x 5;2.5;61.1;NI;31.9;5.5;15;22;2.5;15;4;18;21.5;39.5;54;0.07;12;17;19.2;1.6;1;0;16.5;1.2;11;21.3;2.1;1.6;17;11;56;443;18
154;95;Vista Alegre do Alto;2010/2011;Palmer;2003;7 x 4;5;40.9;NI;31.3;4.7;15;8;1.2;21;6;38;28.2;66.2;43;0.21;23.8;22;30.8;0.6;2;1;8.4;0.6;11.9;22.2;1.8;1;30;8;55;639;15
70;;Taquaritinga;2009/2010;Palmer;2000;8 x 4;3.75;63.5;NI;25.9;6.3;15;21;1.5;24;8;16;33.5;49.5;68;0.18;3.2;13;14.6;0.8;1;0;15.8;1;12.6;19.4;2.2;2.1;32;107;74;1105;34
194;80;Taquaritinga;2010/2011;Haden;1999;8 x 4;0;53.7;NI;25.8;5.4;10;110;1.9;35;17;18;53.9;71.9;75;0.49;8.9;15;15.4;1.2;57;0;15.4;1.9;11.5;17.8;2.1;2.2;52;56;45;563;41
2;;Pirangi;2009/2010;Espada;2003;7 x 5;0;60.7;NI;25.4;6.2;15;20;1.2;24;4;13;29.2;42.2;69;0.06;0.8;18;19;0.1;2;0;16.5;1.1;6.5;15.8;1.9;1.3;17;6;40;310;13
202;41;Fernando Prestes;2010/2011;Tommy;1997;8 x 6;5;52.5;NI;25.3;5.2;13;23;2.5;27;7;28;36.5;64.5;57;0.19;5;24;12.6;0.3;1;0;13.5;1;9.9;8.7;1.7;1;14;11;38;190;22
29;;Fernando Prestes;2009/2010;Espada;2005;7 x 5;2.5;58.1;NI;25;5;16;13;2.2;14;6;21;22.2;43.2;51;0.2;4;32;22;1.2;2;0;16.5;1;6.1;24.7;2.1;1.4;61;16;41;394;14
95;;Vista Alegre do Alto;2009/2010;Palmer;2003;7 x 5;5;35.1;NI;24;4.9;16;4;1.7;16;4;25;21.7;46.7;46;0.1;14;23;24;1;1;1;9.8;0.9;13.5;18.1;1.9;1.2;30;15;50;378;14
69;;Taquaritinga;2009/2010;Palmer;2000;8 x 4;3.75;56.4;NI;23.7;6.4;14;32;1.3;27;9;13;37.3;50.3;74;0.14;3.4;13;14.4;1;2;0;16.1;1.2;12.2;17.2;1.9;1.9;48;87;36;691;40
129;;Monte Alto;2009/2010;Palmer;1996;7 x 5;2.5;58.5;NI;22.4;5.7;15;54;2.7;26;8;15;36.7;51.7;71;0.2;24;29;19.4;3;2;0;14;1.8;13.1;24.6;2.5;2.2;25;40;65;394;25
73;;Taquaritinga;2009/2010;Palmer;2000;8 x 4;3.75;55.6;NI;21.6;6.4;15;20;1.8;25;8;13;34.8;47.8;73;0.24;2.6;13;18;1;3;0;16.5;1.8;10.7;19.1;2.2;2.5;47;118;51;1270;52
72;;Taquaritinga;2009/2010;Palmer;2000;8 x 4;3.75;54.3;NI;20.5;6.4;14;36;1.6;25;8;13;34.6;47.6;73;0.13;3;13;15.4;1;3;0;16.5;1.2;11.8;16.1;1.7;1.9;53;97;46;957;43
81;;Taquaritinga;2009/2010;Haden;2000;8 x 4;6;58.4;NI;19.1;6.3;19;17;2.8;35;12;15;49.8;64.8;77;0.26;3.8;22;0.8;1;2;0;16.1;1.9;12.1;19.2;2.1;2.1;56;56;45;547;35
30;;Fernando Prestes;2009/2010;Espada;2005;8 x 6;2.5;54.6;NI;19;5.5;15;30;1.8;19;7;16;27.8;43.8;63;0.19;3.4;23;18.4;1.4;2;0;14;1;6.1;21.6;2;1.5;65;23;41;304;13
